80

Culture: es-ES 
Date: 24/06/2020 12:03:17.25215

ENLIGHT Version: 1.10.2.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 5 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 192.168.1.123
      Port: 50000

IDN: sm125 1.2
Image ID: 1.0
S/N: SIA85T

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -55,00 dB
	Rel. Thresh.: -11,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,07 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

A1 (NA, Temperature): "-23.957494525641582*FBG_A1^3+109259.25451216094*FBG_A1^2+-166093829.58565986*FBG_A1+84164160209.02133", Range (-26,038, 54,273), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A2 (NA, Temperature): "-18.899027999681454*FBG_A2^3+86353.86413081491*FBG_A2^2+-131523220.70053504*FBG_A2+66773085628.16404", Range (-25,833, 62,251), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A3 (NA, Temperature): "-6.484618799483291*FBG_A3^3+29668.80165579332*FBG_A3^2+-45247325.90361204*FBG_A3+23001872137.844048", Range (-37,039, 77,302), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A4 (NA, Temperature): "20.411235981165895*FBG_A4^3+-93676.1684579524*FBG_A4^2+143307187.43011534*FBG_A4+-73077867300.21503", Range (-45,138, 181,076), Limits (NA, NA), Constants ( St=9,800 ), Description: ""
A5 (NA, Temperature): "9.156827831383353*FBG_A5^3+-42119.78507515272*FBG_A5^2+64581269.90732324*FBG_A5+-33007022561.609653", Range (-58,157, 135,202), Limits (NA, NA), Constants ( St=9,700 ), Description: ""
A6 (NA, Temperature): "11.163753071448287*FBG_A6^3+-51448.20706081547*FBG_A6^2+79033186.60087448*FBG_A6+-40469511915.12558", Range (-63,290, 131,504), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A7 (NA, Temperature): "27.445225474476263*FBG_A7^3+-126686.16215731142*FBG_A7^2+194926339.76877433*FBG_A7+-99974869817.4601", Range (-74,303, 176,754), Limits (NA, NA), Constants ( St=9,100 ), Description: ""
A8 (NA, Temperature): "27.45356183699748*FBG_A8^3+-126968.25630707123*FBG_A8^2+195735943.28251788*FBG_A8+-100583091821.90262", Range (-76,981, 178,838), Limits (NA, NA), Constants ( St=8,900 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0,00, Range (1520,379, 1522,303), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0,00, Range (1523,303, 1525,168), Distance = 0 m
FBG_A3 (FBG): #Avg = 1, Alpha = 0,00, Range (1526,168, 1528,047), Distance = 0 m
FBG_A4 (FBG): #Avg = 1, Alpha = 0,00, Range (1529,047, 1530,967), Distance = 0 m
FBG_A5 (FBG): #Avg = 1, Alpha = 0,00, Range (1531,967, 1533,908), Distance = 0 m
FBG_A6 (FBG): #Avg = 1, Alpha = 0,00, Range (1534,908, 1536,841), Distance = 0 m
FBG_A7 (FBG): #Avg = 1, Alpha = 0,00, Range (1537,841, 1539,782), Distance = 0 m
FBG_A8 (FBG): #Avg = 1, Alpha = 0,00, Range (1540,782, 1542,749), Distance = 0 m

Timestamp	A1	A2	A3	A4	A5	A6	A7	A8	FBG_A1 (nm)	Level (db)	FBG_A2 (nm)	Level (db)	FBG_A3 (nm)	Level (db)	FBG_A4 (nm)	Level (db)	FBG_A5 (nm)	Level (db)	FBG_A6 (nm)	Level (db)	FBG_A7 (nm)	Level (db)	FBG_A8 (nm)	Level (db)
24/06/2020 12:03:18.25215	-4,691	-4,735	-4,472	-4,658	-4,685	-4,692	-4,695	-4,587	1520,56620	-28,14	1523,48991	-27,95	1526,45078	-28,97	1529,38710	-29,84	1532,40985	-30,10	1535,38377	-30,11	1538,38589	-29,45	1541,34489	-29,74
24/06/2020 12:03:18.45215	-4,738	-4,525	-4,623	-4,543	-4,643	-4,712	-4,604	-4,713	1520,56577	-28,18	1523,49183	-28,07	1526,44938	-28,70	1529,38817	-29,87	1532,41024	-30,20	1535,38359	-29,96	1538,38673	-29,69	1541,34372	-29,80
24/06/2020 12:03:18.65215	-4,830	-4,692	-4,635	-4,566	-4,617	-4,690	-4,672	-4,483	1520,56493	-28,14	1523,49030	-27,90	1526,44927	-28,90	1529,38795	-29,75	1532,41048	-30,23	1535,38379	-30,09	1538,38610	-29,40	1541,34586	-29,91
24/06/2020 12:03:18.85215	-4,595	-4,642	-4,531	-4,567	-4,605	-4,575	-4,785	-4,638	1520,56707	-28,44	1523,49077	-28,16	1526,45023	-28,98	1529,38794	-29,94	1532,41059	-30,26	1535,38485	-29,83	1538,38505	-29,66	1541,34441	-29,77
24/06/2020 12:03:19.05215	-4,486	-4,691	-4,643	-4,683	-4,629	-4,642	-4,725	-4,586	1520,56807	-28,16	1523,49031	-27,93	1526,44919	-28,82	1529,38687	-29,78	1532,41037	-30,16	1535,38424	-30,08	1538,38560	-29,45	1541,34489	-29,93
24/06/2020 12:03:19.25215	-4,607	-4,662	-4,612	-4,644	-4,499	-4,688	-4,557	-4,585	1520,56696	-28,09	1523,49059	-27,85	1526,44948	-28,80	1529,38723	-29,71	1532,41157	-30,23	1535,38381	-29,97	1538,38717	-29,64	1541,34491	-29,86
24/06/2020 12:03:19.45215	-4,599	-4,685	-4,492	-4,659	-4,577	-4,642	-4,534	-4,602	1520,56703	-28,44	1523,49037	-28,12	1526,45059	-28,95	1529,38709	-29,94	1532,41085	-30,22	1535,38423	-30,06	1538,38738	-29,57	1541,34475	-29,72
24/06/2020 12:03:19.65215	-4,552	-4,716	-4,624	-4,552	-4,552	-4,527	-4,691	-4,467	1520,56746	-28,15	1523,49009	-27,97	1526,44937	-28,91	1529,38808	-29,76	1532,41108	-30,24	1535,38530	-30,04	1538,38592	-29,50	1541,34601	-29,91
24/06/2020 12:03:19.85215	-4,588	-4,571	-4,595	-4,550	-4,695	-4,701	-4,589	-4,524	1520,56713	-28,18	1523,49141	-28,15	1526,44964	-28,89	1529,38810	-29,75	1532,40976	-30,18	1535,38369	-30,03	1538,38687	-29,47	1541,34548	-29,80
24/06/2020 12:03:20.05215	-4,737	-4,575	-4,625	-4,608	-4,483	-4,582	-4,493	-4,480	1520,56578	-28,32	1523,49137	-28,02	1526,44936	-28,91	1529,38757	-29,91	1532,41172	-30,13	1535,38479	-30,01	1538,38777	-29,59	1541,34589	-29,70
24/06/2020 12:03:20.25215	-4,732	-4,644	-4,609	-4,490	-4,541	-4,706	-4,592	-4,607	1520,56582	-28,10	1523,49075	-28,03	1526,44951	-28,83	1529,38866	-29,82	1532,41119	-30,10	1535,38364	-30,00	1538,38684	-29,60	1541,34470	-29,90
24/06/2020 12:03:20.45215	-4,725	-4,536	-4,550	-4,487	-4,477	-4,632	-4,571	-4,584	1520,56589	-28,02	1523,49173	-28,11	1526,45006	-28,77	1529,38869	-29,72	1532,41177	-30,26	1535,38433	-29,95	1538,38704	-29,66	1541,34492	-29,91
24/06/2020 12:03:20.65215	-4,746	-4,581	-4,505	-4,688	-4,438	-4,404	-4,517	-4,366	1520,56570	-28,17	1523,49132	-28,03	1526,45047	-28,92	1529,38683	-29,89	1532,41213	-30,20	1535,38644	-30,09	1538,38754	-29,54	1541,34695	-29,70
24/06/2020 12:03:20.85215	-4,624	-4,744	-4,540	-4,579	-4,567	-4,567	-4,488	-4,439	1520,56681	-28,27	1523,48983	-28,04	1526,45015	-28,98	1529,38783	-29,79	1532,41095	-30,18	1535,38493	-30,14	1538,38781	-29,51	1541,34626	-29,60
