80

Culture: es-ES 
Date: 24/06/2020 13:15:43.70823

ENLIGHT Version: 1.10.2.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 5 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 192.168.1.123
      Port: 50000

IDN: sm125 1.2
Image ID: 1.0
S/N: SIA85T

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -55,00 dB
	Rel. Thresh.: -11,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,07 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

A1 (NA, Temperature): "-23.957494525641582*FBG_A1^3+109259.25451216094*FBG_A1^2+-166093829.58565986*FBG_A1+84164160209.02133", Range (-26,038, 54,273), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A2 (NA, Temperature): "-18.899027999681454*FBG_A2^3+86353.86413081491*FBG_A2^2+-131523220.70053504*FBG_A2+66773085628.16404", Range (-25,833, 62,251), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A3 (NA, Temperature): "-6.484618799483291*FBG_A3^3+29668.80165579332*FBG_A3^2+-45247325.90361204*FBG_A3+23001872137.844048", Range (-37,039, 77,302), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A4 (NA, Temperature): "20.411235981165895*FBG_A4^3+-93676.1684579524*FBG_A4^2+143307187.43011534*FBG_A4+-73077867300.21503", Range (-45,138, 181,076), Limits (NA, NA), Constants ( St=9,800 ), Description: ""
A5 (NA, Temperature): "9.156827831383353*FBG_A5^3+-42119.78507515272*FBG_A5^2+64581269.90732324*FBG_A5+-33007022561.609653", Range (-58,157, 135,202), Limits (NA, NA), Constants ( St=9,700 ), Description: ""
A6 (NA, Temperature): "11.163753071448287*FBG_A6^3+-51448.20706081547*FBG_A6^2+79033186.60087448*FBG_A6+-40469511915.12558", Range (-63,290, 131,504), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A7 (NA, Temperature): "27.445225474476263*FBG_A7^3+-126686.16215731142*FBG_A7^2+194926339.76877433*FBG_A7+-99974869817.4601", Range (-74,303, 176,754), Limits (NA, NA), Constants ( St=9,100 ), Description: ""
A8 (NA, Temperature): "27.45356183699748*FBG_A8^3+-126968.25630707123*FBG_A8^2+195735943.28251788*FBG_A8+-100583091821.90262", Range (-76,981, 178,838), Limits (NA, NA), Constants ( St=8,900 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0,00, Range (1520,379, 1522,303), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0,00, Range (1523,303, 1525,168), Distance = 0 m
FBG_A3 (FBG): #Avg = 1, Alpha = 0,00, Range (1526,168, 1528,047), Distance = 0 m
FBG_A4 (FBG): #Avg = 1, Alpha = 0,00, Range (1529,047, 1530,967), Distance = 0 m
FBG_A5 (FBG): #Avg = 1, Alpha = 0,00, Range (1531,967, 1533,908), Distance = 0 m
FBG_A6 (FBG): #Avg = 1, Alpha = 0,00, Range (1534,908, 1536,841), Distance = 0 m
FBG_A7 (FBG): #Avg = 1, Alpha = 0,00, Range (1537,841, 1539,782), Distance = 0 m
FBG_A8 (FBG): #Avg = 1, Alpha = 0,00, Range (1540,782, 1542,749), Distance = 0 m

Timestamp	A1	A2	A3	A4	A5	A6	A7	A8	FBG_A1 (nm)	Level (db)	FBG_A2 (nm)	Level (db)	FBG_A3 (nm)	Level (db)	FBG_A4 (nm)	Level (db)	FBG_A5 (nm)	Level (db)	FBG_A6 (nm)	Level (db)	FBG_A7 (nm)	Level (db)	FBG_A8 (nm)	Level (db)
24/06/2020 13:15:44.64823	-4,446	-4,508	-4,274	-4,524	-4,443	-4,603	-4,558	-4,511	1520,56843	-28,29	1523,49199	-28,12	1526,45261	-28,92	1529,38834	-29,81	1532,41209	-30,21	1535,38459	-29,96	1538,38716	-29,64	1541,34559	-29,68
24/06/2020 13:15:44.84823	-4,550	-4,380	-4,310	-4,480	-4,578	-4,645	-4,534	-4,573	1520,56748	-28,26	1523,49316	-28,11	1526,45227	-28,90	1529,38875	-29,74	1532,41084	-30,20	1535,38420	-29,99	1538,38738	-29,60	1541,34502	-30,01
24/06/2020 13:15:45.04823	-4,496	-4,236	-4,480	-4,578	-4,612	-4,570	-4,559	-4,391	1520,56797	-28,15	1523,49448	-28,10	1526,45070	-28,82	1529,38784	-29,63	1532,41053	-30,24	1535,38490	-29,95	1538,38715	-29,52	1541,34671	-29,91
24/06/2020 13:15:45.24823	-4,553	-4,412	-4,438	-4,555	-4,607	-4,559	-4,640	-4,642	1520,56746	-28,31	1523,49287	-27,99	1526,45109	-28,75	1529,38806	-29,96	1532,41058	-30,11	1535,38500	-30,08	1538,38640	-29,46	1541,34438	-29,82
24/06/2020 13:15:45.44823	-4,350	-4,417	-4,271	-4,478	-4,597	-4,510	-4,540	-4,531	1520,56930	-27,99	1523,49282	-28,12	1526,45263	-28,98	1529,38877	-29,82	1532,41066	-30,29	1535,38546	-29,99	1538,38733	-29,61	1541,34541	-29,69
24/06/2020 13:15:45.64823	-4,434	-4,511	-4,314	-4,450	-4,415	-4,541	-4,531	-4,478	1520,56853	-28,37	1523,49197	-27,91	1526,45223	-28,87	1529,38903	-29,80	1532,41235	-30,15	1535,38517	-29,85	1538,38742	-29,55	1541,34590	-29,92
24/06/2020 13:15:45.84823	-4,543	-4,249	-4,322	-4,563	-4,523	-4,625	-4,495	-4,427	1520,56754	-28,24	1523,49436	-28,12	1526,45216	-28,89	1529,38799	-29,77	1532,41135	-30,21	1535,38439	-29,99	1538,38775	-29,45	1541,34638	-29,87
24/06/2020 13:15:46.04823	-4,433	-4,404	-4,429	-4,431	-4,498	-4,602	-4,510	-4,593	1520,56855	-28,21	1523,49294	-28,07	1526,45118	-28,73	1529,38921	-29,98	1532,41158	-30,09	1535,38460	-30,07	1538,38761	-29,66	1541,34484	-29,72
24/06/2020 13:15:46.24823	-4,267	-4,347	-4,364	-4,421	-4,590	-4,453	-4,518	-4,581	1520,57006	-28,36	1523,49346	-27,96	1526,45177	-28,81	1529,38930	-29,66	1532,41073	-30,18	1535,38599	-30,04	1538,38753	-29,51	1541,34495	-29,94
24/06/2020 13:15:46.44823	-4,448	-4,334	-4,346	-4,366	-4,479	-4,529	-4,491	-4,505	1520,56841	-28,28	1523,49358	-27,96	1526,45194	-28,76	1529,38981	-29,73	1532,41175	-30,23	1535,38528	-30,21	1538,38778	-29,61	1541,34566	-29,91
24/06/2020 13:15:46.64823	-4,405	-4,491	-4,249	-4,511	-4,321	-4,603	-4,418	-4,495	1520,56880	-28,28	1523,49215	-27,93	1526,45283	-28,65	1529,38846	-29,84	1532,41321	-30,13	1535,38459	-29,97	1538,38847	-29,63	1541,34575	-29,73
24/06/2020 13:15:46.84823	-4,396	-4,364	-4,468	-4,544	-4,472	-4,451	-4,692	-4,545	1520,56888	-28,30	1523,49331	-27,96	1526,45082	-28,96	1529,38815	-29,60	1532,41182	-30,25	1535,38600	-30,08	1538,38592	-29,51	1541,34528	-29,91
24/06/2020 13:15:47.04823	-4,451	-4,207	-4,361	-4,417	-4,673	-4,560	-4,426	-4,355	1520,56839	-28,14	1523,49475	-28,08	1526,45180	-28,89	1529,38933	-29,84	1532,40996	-30,15	1535,38499	-29,86	1538,38839	-29,51	1541,34705	-29,94
24/06/2020 13:15:47.24823	-4,501	-4,366	-4,403	-4,424	-4,472	-4,535	-4,631	-4,542	1520,56793	-28,27	1523,49329	-27,97	1526,45141	-28,70	1529,38927	-30,04	1532,41182	-30,18	1535,38522	-30,17	1538,38648	-29,71	1541,34531	-29,79
