80

Culture: es-ES 
Date: 24/06/2020 12:36:54.34497

ENLIGHT Version: 1.10.2.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 5 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 192.168.1.123
      Port: 50000

IDN: sm125 1.2
Image ID: 1.0
S/N: SIA85T

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -55,00 dB
	Rel. Thresh.: -11,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,07 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

A1 (NA, Temperature): "-23.957494525641582*FBG_A1^3+109259.25451216094*FBG_A1^2+-166093829.58565986*FBG_A1+84164160209.02133", Range (-26,038, 54,273), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A2 (NA, Temperature): "-18.899027999681454*FBG_A2^3+86353.86413081491*FBG_A2^2+-131523220.70053504*FBG_A2+66773085628.16404", Range (-25,833, 62,251), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A3 (NA, Temperature): "-6.484618799483291*FBG_A3^3+29668.80165579332*FBG_A3^2+-45247325.90361204*FBG_A3+23001872137.844048", Range (-37,039, 77,302), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A4 (NA, Temperature): "20.411235981165895*FBG_A4^3+-93676.1684579524*FBG_A4^2+143307187.43011534*FBG_A4+-73077867300.21503", Range (-45,138, 181,076), Limits (NA, NA), Constants ( St=9,800 ), Description: ""
A5 (NA, Temperature): "9.156827831383353*FBG_A5^3+-42119.78507515272*FBG_A5^2+64581269.90732324*FBG_A5+-33007022561.609653", Range (-58,157, 135,202), Limits (NA, NA), Constants ( St=9,700 ), Description: ""
A6 (NA, Temperature): "11.163753071448287*FBG_A6^3+-51448.20706081547*FBG_A6^2+79033186.60087448*FBG_A6+-40469511915.12558", Range (-63,290, 131,504), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A7 (NA, Temperature): "27.445225474476263*FBG_A7^3+-126686.16215731142*FBG_A7^2+194926339.76877433*FBG_A7+-99974869817.4601", Range (-74,303, 176,754), Limits (NA, NA), Constants ( St=9,100 ), Description: ""
A8 (NA, Temperature): "27.45356183699748*FBG_A8^3+-126968.25630707123*FBG_A8^2+195735943.28251788*FBG_A8+-100583091821.90262", Range (-76,981, 178,838), Limits (NA, NA), Constants ( St=8,900 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0,00, Range (1520,379, 1522,303), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0,00, Range (1523,303, 1525,168), Distance = 0 m
FBG_A3 (FBG): #Avg = 1, Alpha = 0,00, Range (1526,168, 1528,047), Distance = 0 m
FBG_A4 (FBG): #Avg = 1, Alpha = 0,00, Range (1529,047, 1530,967), Distance = 0 m
FBG_A5 (FBG): #Avg = 1, Alpha = 0,00, Range (1531,967, 1533,908), Distance = 0 m
FBG_A6 (FBG): #Avg = 1, Alpha = 0,00, Range (1534,908, 1536,841), Distance = 0 m
FBG_A7 (FBG): #Avg = 1, Alpha = 0,00, Range (1537,841, 1539,782), Distance = 0 m
FBG_A8 (FBG): #Avg = 1, Alpha = 0,00, Range (1540,782, 1542,749), Distance = 0 m

Timestamp	A1	A2	A3	A4	A5	A6	A7	A8	FBG_A1 (nm)	Level (db)	FBG_A2 (nm)	Level (db)	FBG_A3 (nm)	Level (db)	FBG_A4 (nm)	Level (db)	FBG_A5 (nm)	Level (db)	FBG_A6 (nm)	Level (db)	FBG_A7 (nm)	Level (db)	FBG_A8 (nm)	Level (db)
24/06/2020 12:36:55.27497	-6,193	-5,926	-5,943	-6,171	-6,004	-6,157	-6,046	-5,877	1520,55257	-28,17	1523,47905	-28,20	1526,43723	-28,97	1529,37312	-29,85	1532,39772	-30,27	1535,37026	-29,97	1538,37334	-29,57	1541,33291	-29,62
24/06/2020 12:36:55.47497	-6,161	-6,009	-6,002	-6,058	-6,116	-6,203	-6,100	-5,907	1520,55286	-28,27	1523,47829	-28,10	1526,43669	-28,86	1529,37416	-29,80	1532,39670	-30,23	1535,36984	-30,14	1538,37284	-29,48	1541,33263	-29,94
24/06/2020 12:36:55.67497	-6,109	-6,003	-6,062	-6,125	-6,104	-6,137	-6,139	-6,013	1520,55333	-28,31	1523,47835	-28,09	1526,43614	-28,80	1529,37355	-29,87	1532,39681	-30,18	1535,37044	-30,06	1538,37248	-29,43	1541,33164	-29,90
24/06/2020 12:36:55.87497	-6,074	-5,981	-6,024	-5,953	-6,200	-6,123	-6,165	-5,965	1520,55365	-28,46	1523,47855	-28,00	1526,43649	-28,87	1529,37513	-29,71	1532,39592	-30,24	1535,37057	-30,19	1538,37224	-29,44	1541,33209	-29,88
24/06/2020 12:36:56.07497	-6,069	-6,030	-5,979	-6,154	-6,260	-6,093	-6,101	-6,138	1520,55369	-28,41	1523,47811	-27,97	1526,43690	-28,83	1529,37328	-29,85	1532,39538	-30,10	1535,37084	-30,10	1538,37284	-29,44	1541,33049	-29,85
24/06/2020 12:36:56.27497	-6,028	-6,041	-6,004	-6,120	-6,203	-6,016	-6,087	-6,112	1520,55406	-28,38	1523,47800	-28,05	1526,43667	-28,81	1529,37360	-29,74	1532,39589	-30,21	1535,37156	-30,07	1538,37296	-29,46	1541,33073	-29,86
24/06/2020 12:36:56.47497	-6,199	-5,965	-6,037	-6,065	-6,138	-6,160	-6,001	-5,970	1520,55252	-28,23	1523,47869	-27,90	1526,43637	-28,65	1529,37410	-29,84	1532,39649	-30,06	1535,37023	-30,00	1538,37376	-29,58	1541,33204	-29,74
24/06/2020 12:36:56.67497	-5,851	-5,931	-5,927	-6,194	-6,179	-6,194	-6,020	-5,859	1520,55567	-28,03	1523,47901	-28,02	1526,43738	-28,65	1529,37291	-29,93	1532,39612	-30,32	1535,36992	-29,97	1538,37359	-29,57	1541,33307	-29,72
24/06/2020 12:36:56.87497	-6,004	-6,029	-6,119	-6,039	-6,131	-6,059	-6,052	-5,892	1520,55428	-28,32	1523,47811	-28,19	1526,43562	-28,90	1529,37434	-29,81	1532,39655	-30,15	1535,37116	-30,11	1538,37328	-29,49	1541,33276	-29,84
24/06/2020 12:36:57.07497	-6,158	-6,099	-5,874	-6,084	-6,034	-6,190	-5,903	-5,972	1520,55289	-28,18	1523,47748	-27,91	1526,43786	-28,73	1529,37392	-29,92	1532,39745	-30,05	1535,36996	-30,05	1538,37467	-29,70	1541,33203	-29,79
24/06/2020 12:36:57.27497	-6,165	-5,952	-5,984	-6,139	-6,112	-6,243	-5,969	-5,962	1520,55283	-28,13	1523,47882	-27,96	1526,43686	-28,63	1529,37342	-29,88	1532,39672	-30,03	1535,36947	-29,97	1538,37405	-29,67	1541,33211	-29,67
24/06/2020 12:36:57.47497	-5,819	-6,029	-5,884	-6,206	-6,018	-6,143	-5,839	-6,005	1520,55595	-28,06	1523,47811	-28,10	1526,43778	-28,63	1529,37281	-30,02	1532,39759	-30,04	1535,37039	-29,97	1538,37526	-29,68	1541,33172	-29,71
24/06/2020 12:36:57.67497	-6,008	-6,020	-5,918	-6,205	-5,974	-6,194	-6,040	-5,944	1520,55425	-28,25	1523,47820	-28,12	1526,43746	-28,77	1529,37281	-29,94	1532,39800	-30,27	1535,36992	-30,08	1538,37340	-29,43	1541,33228	-29,83
24/06/2020 12:36:57.87497	-6,060	-5,894	-5,917	-6,150	-6,135	-6,110	-5,913	-5,863	1520,55377	-28,08	1523,47935	-28,19	1526,43747	-28,67	1529,37332	-29,81	1532,39652	-30,06	1535,37069	-30,07	1538,37457	-29,66	1541,33304	-29,70
