80

Culture: es-ES 
Date: 24/06/2020 11:06:43.63740

ENLIGHT Version: 1.10.2.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 5 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 192.168.1.123
      Port: 50000

IDN: sm125 1.2
Image ID: 1.0
S/N: SIA85T

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -55,00 dB
	Rel. Thresh.: -11,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,07 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

A1 (NA, Temperature): "-23.957494525641582*FBG_A1^3+109259.25451216094*FBG_A1^2+-166093829.58565986*FBG_A1+84164160209.02133", Range (-26,038, 54,273), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A2 (NA, Temperature): "-18.899027999681454*FBG_A2^3+86353.86413081491*FBG_A2^2+-131523220.70053504*FBG_A2+66773085628.16404", Range (-25,833, 62,251), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A3 (NA, Temperature): "-6.484618799483291*FBG_A3^3+29668.80165579332*FBG_A3^2+-45247325.90361204*FBG_A3+23001872137.844048", Range (-37,039, 77,302), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A4 (NA, Temperature): "20.411235981165895*FBG_A4^3+-93676.1684579524*FBG_A4^2+143307187.43011534*FBG_A4+-73077867300.21503", Range (-45,138, 181,076), Limits (NA, NA), Constants ( St=9,800 ), Description: ""
A5 (NA, Temperature): "9.156827831383353*FBG_A5^3+-42119.78507515272*FBG_A5^2+64581269.90732324*FBG_A5+-33007022561.609653", Range (-58,157, 135,202), Limits (NA, NA), Constants ( St=9,700 ), Description: ""
A6 (NA, Temperature): "11.163753071448287*FBG_A6^3+-51448.20706081547*FBG_A6^2+79033186.60087448*FBG_A6+-40469511915.12558", Range (-63,290, 131,504), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A7 (NA, Temperature): "27.445225474476263*FBG_A7^3+-126686.16215731142*FBG_A7^2+194926339.76877433*FBG_A7+-99974869817.4601", Range (-74,303, 176,754), Limits (NA, NA), Constants ( St=9,100 ), Description: ""
A8 (NA, Temperature): "27.45356183699748*FBG_A8^3+-126968.25630707123*FBG_A8^2+195735943.28251788*FBG_A8+-100583091821.90262", Range (-76,981, 178,838), Limits (NA, NA), Constants ( St=8,900 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0,00, Range (1520,379, 1522,303), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0,00, Range (1523,303, 1525,168), Distance = 0 m
FBG_A3 (FBG): #Avg = 1, Alpha = 0,00, Range (1526,168, 1528,047), Distance = 0 m
FBG_A4 (FBG): #Avg = 1, Alpha = 0,00, Range (1529,047, 1530,967), Distance = 0 m
FBG_A5 (FBG): #Avg = 1, Alpha = 0,00, Range (1531,967, 1533,908), Distance = 0 m
FBG_A6 (FBG): #Avg = 1, Alpha = 0,00, Range (1534,908, 1536,841), Distance = 0 m
FBG_A7 (FBG): #Avg = 1, Alpha = 0,00, Range (1537,841, 1539,782), Distance = 0 m
FBG_A8 (FBG): #Avg = 1, Alpha = 0,00, Range (1540,782, 1542,749), Distance = 0 m

Timestamp	A1	A2	A3	A4	A5	A6	A7	A8	FBG_A1 (nm)	Level (db)	FBG_A2 (nm)	Level (db)	FBG_A3 (nm)	Level (db)	FBG_A4 (nm)	Level (db)	FBG_A5 (nm)	Level (db)	FBG_A6 (nm)	Level (db)	FBG_A7 (nm)	Level (db)	FBG_A8 (nm)	Level (db)
24/06/2020 11:06:44.53740	-3,820	-3,557	-3,581	-3,858	-4,056	-3,730	-3,646	-3,626	1520,57415	-28,29	1523,50071	-27,96	1526,45902	-28,67	1529,39452	-29,79	1532,41566	-30,06	1535,39269	-30,13	1538,39567	-29,60	1541,35385	-29,81
24/06/2020 11:06:44.73740	-3,769	-3,619	-3,537	-3,969	-3,914	-3,970	-3,779	-3,670	1520,57461	-28,14	1523,50013	-27,91	1526,45943	-28,91	1529,39350	-29,71	1532,41698	-30,02	1535,39047	-29,94	1538,39443	-29,36	1541,35344	-29,80
24/06/2020 11:06:44.93740	-3,809	-3,768	-3,498	-3,870	-3,933	-3,903	-3,515	-3,785	1520,57424	-28,47	1523,49877	-27,74	1526,45980	-28,54	1529,39442	-29,67	1532,41680	-30,02	1535,39109	-30,11	1538,39690	-29,53	1541,35237	-29,84
24/06/2020 11:06:45.13740	-3,749	-3,545	-3,481	-3,812	-3,962	-3,858	-3,674	-3,655	1520,57479	-28,26	1523,50081	-28,00	1526,45995	-28,82	1529,39496	-29,78	1532,41653	-30,23	1535,39150	-29,82	1538,39541	-29,39	1541,35358	-29,64
24/06/2020 11:06:45.33740	-3,901	-3,517	-3,566	-3,872	-3,850	-3,938	-3,700	-3,543	1520,57340	-28,17	1523,50107	-28,11	1526,45916	-28,88	1529,39439	-29,68	1532,41757	-30,00	1535,39076	-29,80	1538,39516	-29,33	1541,35463	-29,71
24/06/2020 11:06:45.53740	-3,823	-3,601	-3,598	-3,827	-3,882	-3,806	-3,697	-3,629	1520,57411	-28,21	1523,50030	-27,90	1526,45886	-28,84	1529,39482	-29,68	1532,41728	-30,11	1535,39199	-29,91	1538,39520	-29,44	1541,35383	-29,69
24/06/2020 11:06:45.73740	-3,778	-3,495	-3,501	-3,840	-4,045	-3,704	-3,542	-3,471	1520,57452	-28,26	1523,50127	-28,00	1526,45977	-28,75	1529,39469	-29,76	1532,41577	-30,09	1535,39293	-30,00	1538,39664	-29,50	1541,35531	-29,51
24/06/2020 11:06:45.93740	-3,828	-3,420	-3,574	-3,893	-3,970	-3,686	-3,617	-3,502	1520,57407	-28,08	1523,50197	-28,04	1526,45909	-28,82	1529,39420	-29,81	1532,41646	-30,06	1535,39310	-29,82	1538,39594	-29,63	1541,35501	-29,56
24/06/2020 11:06:46.13740	-3,718	-3,439	-3,449	-3,804	-3,899	-3,784	-3,628	-3,721	1520,57507	-28,25	1523,50180	-28,05	1526,46025	-28,84	1529,39503	-29,64	1532,41712	-30,00	1535,39220	-29,85	1538,39583	-29,39	1541,35297	-29,62
24/06/2020 11:06:46.33740	-3,883	-3,515	-3,358	-3,749	-4,036	-3,801	-3,631	-3,698	1520,57356	-28,24	1523,50109	-27,96	1526,46109	-28,80	1529,39554	-29,84	1532,41585	-30,06	1535,39203	-29,93	1538,39581	-29,52	1541,35318	-29,82
24/06/2020 11:06:46.53740	-3,709	-3,408	-3,507	-3,877	-3,719	-3,841	-3,654	-3,720	1520,57515	-28,15	1523,50208	-28,11	1526,45971	-28,78	1529,39435	-29,69	1532,41878	-30,03	1535,39166	-29,85	1538,39559	-29,38	1541,35298	-29,61
24/06/2020 11:06:46.73740	-3,934	-3,549	-3,351	-3,884	-3,892	-3,822	-3,535	-3,815	1520,57310	-28,26	1523,50078	-27,82	1526,46115	-28,90	1529,39429	-29,83	1532,41718	-30,04	1535,39184	-30,03	1538,39671	-29,47	1541,35209	-29,77
24/06/2020 11:06:46.93740	-3,857	-3,456	-3,476	-3,812	-3,867	-3,785	-3,567	-3,549	1520,57381	-28,01	1523,50164	-28,08	1526,46000	-28,82	1529,39495	-29,91	1532,41741	-30,18	1535,39218	-29,71	1538,39641	-29,41	1541,35457	-29,62
24/06/2020 11:06:47.13740	-3,810	-3,441	-3,541	-3,736	-3,992	-3,727	-3,610	-3,510	1520,57423	-28,08	1523,50178	-28,10	1526,45939	-28,77	1529,39566	-29,92	1532,41625	-30,12	1535,39272	-29,70	1538,39600	-29,36	1541,35494	-29,46
